,time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,precipitation
231,2024-11-19T15:00,11.5,94,1001.4,21.0,1.8
232,2024-11-19T16:00,10.4,92,1002.0,21.9,2.1
233,2024-11-19T17:00,9.4,91,1002.2,18.3,1.7
234,2024-11-19T18:00,9.1,89,1002.7,19.8,0.4
235,2024-11-19T19:00,8.7,88,1003.4,19.0,0.1
236,2024-11-19T20:00,8.2,88,1004.3,21.3,0.0
237,2024-11-19T21:00,7.6,88,1005.6,19.2,0.2
238,2024-11-19T22:00,7.2,87,1006.6,16.6,0.0
239,2024-11-19T23:00,6.9,86,1007.8,14.5,0.0
240,2024-11-20T00:00,6.2,89,1008.8,11.7,0.0
241,2024-11-20T01:00,6.1,90,1009.2,10.9,0.0
242,2024-11-20T02:00,5.5,91,1010.1,8.0,0.0
243,2024-11-20T03:00,4.8,92,1010.6,6.0,0.0
244,2024-11-20T04:00,4.4,93,1011.1,5.1,0.0
245,2024-11-20T05:00,3.8,95,1011.3,4.1,0.0
246,2024-11-20T06:00,3.4,96,1011.6,5.0,0.0
247,2024-11-20T07:00,3.1,96,1012.2,4.5,0.0
248,2024-11-20T08:00,3.2,97,1012.6,5.9,0.0
249,2024-11-20T09:00,4.3,96,1012.7,4.7,0.0
250,2024-11-20T10:00,5.9,89,1013.0,2.6,0.0
251,2024-11-20T11:00,7.0,82,1012.9,3.1,0.0
252,2024-11-20T12:00,8.0,71,1012.5,8.3,0.0
253,2024-11-20T13:00,7.7,78,1013.1,11.7,0.1
254,2024-11-20T14:00,7.7,71,1012.9,13.5,0.0
255,2024-11-20T15:00,7.1,76,1013.0,15.4,0.4
256,2024-11-20T16:00,6.2,76,1013.5,11.3,0.0
257,2024-11-20T17:00,5.2,80,1014.0,7.8,0.0
258,2024-11-20T18:00,4.5,82,1014.3,5.8,0.0
259,2024-11-20T19:00,4.0,82,1014.3,8.8,0.0
260,2024-11-20T20:00,3.6,81,1014.2,7.5,0.0
261,2024-11-20T21:00,3.4,82,1014.3,4.7,0.0
262,2024-11-20T22:00,3.0,84,1014.1,1.0,0.0
263,2024-11-20T23:00,3.2,85,1013.2,4.7,0.0
264,2024-11-21T00:00,3.3,85,1012.5,7.3,0.0
265,2024-11-21T01:00,3.4,88,1011.3,9.1,0.0
266,2024-11-21T02:00,3.5,86,1010.0,10.3,0.1
267,2024-11-21T03:00,3.6,87,1008.1,13.2,0.2
268,2024-11-21T04:00,3.2,88,1005.4,21.0,0.8
269,2024-11-21T05:00,1.8,99,1002.4,21.3,1.9
270,2024-11-21T06:00,1.3,100,999.9,18.9,2.1
271,2024-11-21T07:00,1.0,98,996.0,30.3,3.5
272,2024-11-21T08:00,1.6,94,993.3,29.0,1.2
273,2024-11-21T09:00,2.2,91,990.0,31.1,0.3
274,2024-11-21T10:00,2.1,94,987.8,29.6,0.1
275,2024-11-21T11:00,2.7,94,985.4,24.1,0.4
276,2024-11-21T12:00,3.9,95,981.7,19.9,0.1
277,2024-11-21T13:00,5.4,94,981.2,18.4,0.0
278,2024-11-21T14:00,10.1,84,980.3,28.7,0.1
279,2024-11-21T15:00,2.2,91,987.9,32.0,0.3
280,2024-11-21T16:00,2.4,86,994.3,24.8,0.1
281,2024-11-21T17:00,1.9,85,997.9,21.8,0.0
282,2024-11-21T18:00,1.5,85,1000.4,15.6,0.0
283,2024-11-21T19:00,0.9,87,1001.7,9.2,0.0
284,2024-11-21T20:00,0.2,90,1003.9,7.2,0.0
285,2024-11-21T21:00,-0.4,93,1005.5,4.2,0.0
286,2024-11-21T22:00,-0.3,93,1006.5,5.0,0.0
287,2024-11-21T23:00,0.3,93,1007.3,5.0,0.0
288,2024-11-22T00:00,0.8,91,1008.4,7.9,0.1
289,2024-11-22T01:00,0.9,91,1010.4,12.2,0.2
290,2024-11-22T02:00,1.1,92,1010.8,12.8,0.5
291,2024-11-22T03:00,1.5,91,1011.4,12.0,0.2
292,2024-11-22T04:00,1.2,92,1011.8,13.0,0.0
293,2024-11-22T05:00,0.8,90,1012.3,13.9,0.0
294,2024-11-22T06:00,0.6,88,1012.5,13.4,0.0
295,2024-11-22T07:00,0.5,88,1013.1,13.6,0.0
296,2024-11-22T08:00,0.6,90,1013.6,13.2,0.0
297,2024-11-22T09:00,2.2,88,1014.3,13.8,0.0
298,2024-11-22T10:00,3.7,86,1014.9,10.8,0.0
299,2024-11-22T11:00,5.4,82,1015.4,12.6,0.0
300,2024-11-22T12:00,6.8,78,1015.1,13.0,0.0
301,2024-11-22T13:00,7.8,68,1016.0,15.1,0.0
302,2024-11-22T14:00,8.1,63,1016.2,14.2,0.0
303,2024-11-22T15:00,7.8,67,1016.6,11.2,0.0
304,2024-11-22T16:00,6.6,73,1017.0,9.6,0.0
305,2024-11-22T17:00,5.6,79,1017.6,9.8,0.0
306,2024-11-22T18:00,4.6,85,1018.3,9.1,0.0
307,2024-11-22T19:00,4.2,87,1018.5,9.8,0.0
308,2024-11-22T20:00,3.8,89,1018.9,10.3,0.0
309,2024-11-22T21:00,3.3,90,1019.3,9.5,0.0
310,2024-11-22T22:00,3.2,90,1018.8,8.8,0.0
311,2024-11-22T23:00,3.4,89,1018.4,10.9,0.0
312,2024-11-23T00:00,4.3,86,1017.6,13.0,0.0
313,2024-11-23T01:00,4.3,86,1016.9,16.7,0.0
314,2024-11-23T02:00,5.2,84,1015.9,19.2,0.0
